t, e, s
2.048096192384769691e-03,3.000000000000000000e+00,5.226118658853090793e+00
2.062124248496994064e-03,3.000000000000000000e+00,5.236898919894063198e+00
2.076152304609218437e-03,3.000000000000000000e+00,5.247529010589877529e+00
2.090180360721442809e-03,3.000000000000000000e+00,5.258011022831674097e+00
2.104208416833667182e-03,3.000000000000000000e+00,5.268347019370297701e+00
2.118236472945891988e-03,3.000000000000000000e+00,5.278539034222218262e+00
2.132264529058116361e-03,3.000000000000000000e+00,5.288589073069815072e+00
2.146292585170340734e-03,3.000000000000000000e+00,5.298499113656065518e+00
2.160320641282565107e-03,3.000000000000000000e+00,5.308271106173747533e+00
2.174348697394789479e-03,3.000000000000000000e+00,5.317906973649217051e+00
2.188376753507013852e-03,3.000000000000000000e+00,5.327408612320839509e+00
2.202404809619238658e-03,3.000000000000000000e+00,5.336777892012149138e+00
2.216432865731463031e-03,3.000000000000000000e+00,5.346016656499813280e+00
2.230460921843687404e-03,3.000000000000000000e+00,5.355126723876462158e+00
2.244488977955911777e-03,3.000000000000000000e+00,5.364109886908480007e+00
2.258517034068136149e-03,3.000000000000000000e+00,5.372967913388793981e+00
2.272545090180360522e-03,3.000000000000000000e+00,5.381702546484762095e+00
2.286573146292585328e-03,3.000000000000000000e+00,5.390315505081211711e+00
2.300601202404809701e-03,3.000000000000000000e+00,5.398808484118692519e+00
2.314629258517034074e-03,3.000000000000000000e+00,5.407183154927028390e+00
2.328657314629258446e-03,3.000000000000000000e+00,5.415441165554215175e+00
2.342685370741482819e-03,3.000000000000000000e+00,5.423584141090739941e+00
2.356713426853707626e-03,3.000000000000000000e+00,5.431613683989382046e+00
2.370741482965931998e-03,3.000000000000000000e+00,5.439531374380560891e+00
2.384769539078156371e-03,3.000000000000000000e+00,5.447338770383284512e+00
2.398797595190380744e-03,3.000000000000000000e+00,5.455037408411775424e+00
2.412825651302605116e-03,3.000000000000000000e+00,5.462628803477819872e+00
2.426853707414829489e-03,3.000000000000000000e+00,5.470114449488903574e+00
2.440881763527054295e-03,3.000000000000000000e+00,5.477495819542203215e+00
2.454909819639278668e-03,3.000000000000000000e+00,5.484774366214470120e+00
2.468937875751503041e-03,3.000000000000000000e+00,5.491951521847887818e+00
2.482965931863727414e-03,3.000000000000000000e+00,5.499028698831935458e+00
2.496993987975951786e-03,3.000000000000000000e+00,5.506007289881337918e+00
2.511022044088176159e-03,3.000000000000000000e+00,5.512888668310135465e+00
2.525050100200400965e-03,3.000000000000000000e+00,5.519674188301934237e+00
2.539078156312625338e-03,3.000000000000000000e+00,5.526365185176400630e+00
2.553106212424849711e-03,3.000000000000000000e+00,5.532962975652036874e+00
2.567134268537074084e-03,3.000000000000000000e+00,5.539468858105292881e+00
2.581162324649298456e-03,3.000000000000000000e+00,5.545884112826080958e+00
2.595190380761523263e-03,3.000000000000000000e+00,5.552210002269716504e+00
2.609218436873747635e-03,3.000000000000000000e+00,5.558447771305361051e+00
2.623246492985972008e-03,3.000000000000000000e+00,5.564598647460996084e+00
2.637274549098196381e-03,3.000000000000000000e+00,5.570663841164990693e+00
2.651302605210420753e-03,3.000000000000000000e+00,5.576644545984298595e+00
2.665330661322645126e-03,3.000000000000000000e+00,5.582541938859342245e+00
2.679358717434869933e-03,3.000000000000000000e+00,5.588357180335619567e+00
2.693386773547094305e-03,3.000000000000000000e+00,5.594091414792090156e+00
2.707414829659318678e-03,3.000000000000000000e+00,5.599745770666374689e+00
2.721442885771543051e-03,3.000000000000000000e+00,5.605321360676821740e+00
2.735470941883767423e-03,3.000000000000000000e+00,5.610819282041476619e+00
2.749498997995991796e-03,3.000000000000000000e+00,5.616240616694007315e+00
2.763527054108216603e-03,3.000000000000000000e+00,5.621586431496609748e+00
2.777555110220440975e-03,3.000000000000000000e+00,5.626857778449965153e+00
2.791583166332665348e-03,3.000000000000000000e+00,5.632055694900252263e+00
2.805611222444889721e-03,3.000000000000000000e+00,5.637181203743296010e+00
2.819639278557114093e-03,3.000000000000000000e+00,5.642235313625855397e+00
2.833667334669338900e-03,3.000000000000000000e+00,5.647219019144118946e+00
2.847695390781563272e-03,3.000000000000000000e+00,5.652133301039429014e+00
2.861723446893787645e-03,3.000000000000000000e+00,5.656979126391282087e+00
2.875751503006012018e-03,3.000000000000000000e+00,5.661757448807641424e+00
2.889779559118236391e-03,3.000000000000000000e+00,5.666469208612593178e+00
2.903807615230460763e-03,3.000000000000000000e+00,5.671115333031396588e+00
2.917835671342685570e-03,3.000000000000000000e+00,5.675696736372948692e+00
2.931863727454909942e-03,3.000000000000000000e+00,5.680214320209713286e+00
2.945891783567134315e-03,3.000000000000000000e+00,5.684668973555141669e+00
2.959919839679358688e-03,3.000000000000000000e+00,5.689061573038617148e+00
2.973947895791583061e-03,3.000000000000000000e+00,5.693392983077972147e+00
2.987975951903807433e-03,3.000000000000000000e+00,5.697664056049592141e+00
3.002004008016032240e-03,3.000000000000000000e+00,5.701875632456156140e+00
3.016032064128256612e-03,3.000000000000000000e+00,5.706028541092039497e+00
3.030060120240480985e-03,3.000000000000000000e+00,5.710123599206410105e+00
3.044088176352705358e-03,3.000000000000000000e+00,5.714161612664056200e+00
3.058116232464929730e-03,3.000000000000000000e+00,5.718143376103973274e+00
3.072144288577154103e-03,3.000000000000000000e+00,5.722069673095734998e+00
3.086172344689378910e-03,3.000000000000000000e+00,5.725941276293702309e+00
3.100200400801603282e-03,3.000000000000000000e+00,5.729758947589060014e+00
3.114228456913827655e-03,3.000000000000000000e+00,5.733523438259761740e+00
3.128256513026052028e-03,3.000000000000000000e+00,5.737235489118363674e+00
3.142284569138276400e-03,3.000000000000000000e+00,5.740895830657816390e+00
3.156312625250501207e-03,3.000000000000000000e+00,5.744505183195213860e+00
3.170340681362725579e-03,3.000000000000000000e+00,5.748064257013544953e+00
